codigo;Data;Visita OTIF;OT;IF;OTIF
0296708;01/03/2024;0001-0000020-01/03/2024-531024;Sim;Sim;Sim
0296708;01/03/2024;0001-0000074-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0000080-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0000152-01/03/2024-531035;Sim;Sim;Sim
0296708;01/03/2024;0001-0000153-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0000203-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0000277-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0000344-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0000467-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0000664-01/03/2024-531050;Sim;Sim;Sim
0296708;01/03/2024;0001-0000678-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0001128-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0001222-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0001228-01/03/2024-531033;Sim;Sim;Sim
0296708;01/03/2024;0001-0001324-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0001357-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0001372-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0001479-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0001671-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0001674-01/03/2024-531046;Sim;Não;Não
0296708;01/03/2024;0001-0001689-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0001768-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0001774-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0001884-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0002216-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0002249-01/03/2024-531018;Sim;Sim;Sim
0296708;01/03/2024;0001-0003120-01/03/2024-531052;Sim;Sim;Sim
0296708;01/03/2024;0001-0003139-01/03/2024-531035;Sim;Sim;Sim
0296708;01/03/2024;0001-0003151-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0003222-01/03/2024-531029;Sim;Sim;Sim
0296708;01/03/2024;0001-0003223-01/03/2024-531021;Sim;Sim;Sim
0296708;01/03/2024;0001-0003231-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0003269-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0003286-01/03/2024-531032;Sim;Sim;Sim
0296708;01/03/2024;0001-0003300-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0003327-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0003402-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0003412-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0003564-01/03/2024-531012;Sim;Sim;Sim
0296708;01/03/2024;0001-0003566-01/03/2024-531012;Sim;Sim;Sim
0296708;01/03/2024;0001-0003605-01/03/2024-531044;Sim;Não;Não
0296708;01/03/2024;0001-0003764-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0003790-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0003792-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0003818-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0003831-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0003869-01/03/2024-531066;Sim;Sim;Sim
0296708;01/03/2024;0001-0003874-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0003945-01/03/2024-531018;Sim;Sim;Sim
0296708;01/03/2024;0001-0003946-01/03/2024-531025;Sim;Sim;Sim
0296708;01/03/2024;0001-0004005-01/03/2024-531027;Sim;Não;Não
0296708;01/03/2024;0001-0004041-01/03/2024-531025;Sim;Sim;Sim
0296708;01/03/2024;0001-0004094-01/03/2024-531051;Sim;Não;Não
0296708;01/03/2024;0001-0004500-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0004557-01/03/2024-531062;Sim;Não;Não
0296708;01/03/2024;0001-0004610-01/03/2024-531027;Sim;Sim;Sim
0296708;01/03/2024;0001-0004639-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0004697-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0004761-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0004816-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0004934-01/03/2024-531034;Sim;Sim;Sim
0296708;01/03/2024;0001-0005051-01/03/2024-531050;Sim;Sim;Sim
0296708;01/03/2024;0001-0005062-01/03/2024-000000;Não;Não;Não
0296708;01/03/2024;0001-0005158-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0005159-01/03/2024-531036;Sim;Sim;Sim
0296708;01/03/2024;0001-0005352-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0005369-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0005540-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0005578-01/03/2024-531054;Sim;Sim;Sim
0296708;01/03/2024;0001-0005628-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0005668-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0005707-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0005839-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0005896-01/03/2024-531068;Não;Sim;Não
