mapas_distintos,mapas_gerais,Date,mapas_com_avaria
,58,2024-03-01 00:00:00,
,50,2024-03-02 00:00:00,
,53,2024-03-05 00:00:00,
,56,2024-03-06 00:00:00,
,59,2024-03-07 00:00:00,
,55,2024-03-08 00:00:00,
,47,2024-03-09 00:00:00,
,53,2024-03-12 00:00:00,
,52,2024-03-13 00:00:00,
,61,2024-03-14 00:00:00,
,54,2024-03-15 00:00:00,
,47,2024-03-16 00:00:00,
,53,2024-03-19 00:00:00,
,53,2024-03-20 00:00:00,
,60,2024-03-21 00:00:00,
,57,2024-03-22 00:00:00,
,46,2024-03-23 00:00:00,
,27,2024-03-25 00:00:00,
,47,2024-03-26 00:00:00,
,57,2024-03-27 00:00:00,
,64,2024-03-28 00:00:00,
,45,2024-03-30 00:00:00,
9,52,2024-04-02 00:00:00,"17,31%"
20,48,2024-04-03 00:00:00,"41,67%"
18,55,2024-04-04 00:00:00,"32,73%"
31,53,2024-04-05 00:00:00,"58,49%"
34,46,2024-04-06 00:00:00,"73,91%"
10,,2024-04-08 00:00:00,"0,00%"
34,55,2024-04-09 00:00:00,"61,82%"
31,54,2024-04-10 00:00:00,"57,41%"
33,57,2024-04-11 00:00:00,"57,89%"
29,54,2024-04-12 00:00:00,"53,70%"
18,43,2024-04-13 00:00:00,"41,86%"
30,,2024-04-15 00:00:00,"0,00%"
25,49,2024-04-16 00:00:00,"51,02%"
,49,2024-04-17 00:00:00,
14,57,2024-04-18 00:00:00,"24,56%"
26,49,2024-04-19 00:00:00,"53,06%"
,42,2024-04-20 00:00:00,
,48,2024-04-23 00:00:00,
,49,2024-04-24 00:00:00,
,57,2024-04-25 00:00:00,
,54,2024-04-26 00:00:00,
,45,2024-04-27 00:00:00,
,35,2024-04-29 00:00:00,
,62,2024-04-30 00:00:00,
,55,2024-05-02 00:00:00,
,59,2024-05-03 00:00:00,
38,54,2024-05-04 00:00:00,"70,37%"
1,,2024-05-06 00:00:00,"0,00%"
25,56,2024-05-07 00:00:00,"44,64%"
1,60,2024-05-08 00:00:00,"1,67%"
54,63,2024-05-09 00:00:00,"85,71%"
84,55,2024-05-10 00:00:00,"152,73%"
12,46,2024-05-11 00:00:00,"26,09%"
34,,2024-05-13 00:00:00,"0,00%"
40,57,2024-05-14 00:00:00,"70,18%"
26,53,2024-05-15 00:00:00,"49,06%"
28,60,2024-05-16 00:00:00,"46,67%"
21,56,2024-05-17 00:00:00,"37,50%"
,45,2024-05-18 00:00:00,
31,54,2024-05-21 00:00:00,"57,41%"
8,52,2024-05-22 00:00:00,"15,38%"
10,62,2024-05-23 00:00:00,"16,13%"
6,51,2024-05-24 00:00:00,"11,76%"
30,43,2024-05-25 00:00:00,"69,77%"
